key	description	normative	pronoun_subject	pronoun_object	pronoun_disjunctive	pronoun_possessive	conjugation_l	conjugation_x	conjugation_e	conjugation_n	plural	pluralHonorific	pronounceable	history	thirdForm	smallForm	sourcesInfo
il	Normatif, masculin	TRUE	il	le	lui	mon	l	x	é	n	FALSE	FALSE	TRUE
elle	Normatif, féminin	TRUE	elle	la	elle	ma	le	se	e	ne	FALSE	FALSE	TRUE
on	Normatif, indéfini	TRUE	on	en	soi	man	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE
al	Neopronom «al»	FALSE	al	lea	al	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE
ael	Neopronom «ael»	FALSE	ael	lea	ael	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE
el	Neopronom «el»	FALSE	el	lea	el	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE
em	Neopronom «em»	FALSE	em	lea	em	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE	Proche à «elle»
iel	Neopronom «iel»	FALSE	iel	lea	ellui	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE	Mélange de «il» et «elle»
ielle	Neopronom «ielle»	FALSE	ielle	lea	ielle	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE
ille	Neopronom «ille»	FALSE	ille	lea	ille	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE
im	Neopronom «im»	FALSE	im	lea	im	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE	Proche à «il»
ol	Neopronom «ol»	FALSE	ol	lo	ol	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE
ul	Neopronom «ul»	FALSE	ul	lu	ul	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE
yel	Neopronom «yel»	FALSE	yel	lea	yel	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE	Une orthographe alternative de «iel»
yelle	Neopronom «yelle»	FALSE	yelle	lea	yelle	mo	l·le	x·se	é·e	n·e	FALSE	FALSE	TRUE
