name	count
MARIA	1486211
ANNA	897288
KATARZYNA	418069
BARBARA	407339
EWA	374225
TERESA	363568
MAŁGORZATA	333652
ELŻBIETA	315871
MAGDALENA	301103
AGNIESZKA	276050
ZOFIA	268440
KRYSTYNA	223995
JOANNA	199771
JADWIGA	198321
JANINA	163692
MONIKA	163604
HELENA	156992
MARTA	135398
DOROTA	133705
DANUTA	131077
STANISŁAWA	125432
IRENA	120063
BEATA	119994
JOLANTA	118254
WERONIKA	117928
ALEKSANDRA	115053
KAROLINA	111146
URSZULA	102327
WIKTORIA	97542
GRAŻYNA	96829
HALINA	88284
ALICJA	85841
JULIA	84608
IWONA	83750
AGATA	81119
BOŻENA	80948
MARIANNA	80651
IZABELA	79549
KAZIMIERA	78949
JÓZEFA	78719
NATALIA	78163
JUSTYNA	74383
SYLWIA	72845
PAULINA	68348
PATRYCJA	61850
KINGA	58832
RENATA	58469
WANDA	58272
ŁUCJA	52720
EMILIA	48356
DOMINIKA	47831
ZUZANNA	44160
STEFANIA	43397
GABRIELA	43355
MARZENA	41958
ANTONINA	41684
WIESŁAWA	41288
EDYTA	39110
LUCYNA	37719
EWELINA	35933
HANNA	35854
LIDIA	34644
WŁADYSŁAWA	34237
KLAUDIA	34216
ANIELA	34100
ANETA	32743
BOGUMIŁA	31892
MARIOLA	31591
KAMILA	30797
OLIWIA	28961
GENOWEFA	28499
MIROSŁAWA	26517
CECYLIA	26318
SABINA	26183
FRANCISZKA	25881
HENRYKA	25618
BRONISŁAWA	25356
DARIA	24632
ALINA	24205
REGINA	23618
BOGUSŁAWA	23588
MICHALINA	22505
CZESŁAWA	22496
MAJA	22284
WIOLETTA	21186
RÓŻA	21129
ANGELIKA	20397
MARTYNA	19974
ROZALIA	19252
AMELIA	16937
LAURA	16663
BERNADETA	16584
OLGA	16047
ANASTAZJA	15370
ZDZISŁAWA	15073
LEOKADIA	14028
GERTRUDA	13214
KLARA	12965
ILONA	12911
MIECZYSŁAWA	12628
ANITA	12327
SANDRA	12279
LENA	11945
WIOLETA	11449
EUGENIA	11285
DAGMARA	10578
MARLENA	10265
HONORATA	9935
NIKOLA	9918
ELIZA	9882
JAGODA	9616
KORNELIA	9457
BRYGIDA	9413
SARA	9250
CELINA	8919
MILENA	8821
KARINA	8728
FAUSTYNA	8685
LUDWIKA	8448
DANIELA	8240
MARCELINA	7434
ROKSANA	7349
ADRIANNA	7322
MAGDA	7063
LUIZA	6911
ALDONA	6882
RITA	6829
JULIANNA	6758
IZABELLA	6731
ŻANETA	6548
APOLONIA	6463
MALWINA	6364
NINA	6208
NADIA	6181
MATYLDA	6097
LILIANA	6086
WACŁAWA	6043
DIANA	6030
ELEONORA	5719
JULITA	5600
PAULA	5518
ROMANA	5345
AURELIA	5341
WALERIA	4991
VIOLETTA	4873
IGA	4828
FELICJA	4788
ADRIANA	4688
ELWIRA	4674
PELAGIA	4621
BERNADETTA	4482
ADELA	4371
BOŻENNA	4306
KONSTANCJA	4164
ANDŻELIKA	4066
BLANKA	3821
JUDYTA	3817
WALENTYNA	3659
ALFREDA	3637
POLA	3538
LILIANNA	3511
VICTORIA	3389
ESTERA	3357
OTYLIA	3260
KAJA	3183
ZENONA	3147
MARZANNA	3120
JÓZEFINA	3113
RYSZARDA	3092
FELIKSA	3086
SONIA	3052
JOWITA	2964
BERNARDA	2767
ROMUALDA	2700
TAMARA	2638
MARIE	2606
LUDMIŁA	2554
OLIMPIA	2527
TEODORA	2493
MARIKA	2489
ALBINA	2461
ARLETA	2424
MELANIA	2395
SŁAWOMIRA	2359
KALINA	2344
NATASZA	2319
TATIANA	2228
ZENOBIA	2141
INGA	2089
HILDEGARDA	2065
ERYKA	2031
ELIZABETH	2029
IRMINA	1999
DONATA	1997
AMANDA	1977
ZYTA	1974
SALOMEA	1960
BALBINA	1898
TEODOZJA	1819
OLIVIA	1771
ADELAJDA	1722
BOLESŁAWA	1720
NICOLE	1713
GIZELA	1647
LEONARDA	1637
EDWARDA	1598
MARZENNA	1589
IDA	1579
FLORENTYNA	1575
LONGINA	1570
ALEXANDRA	1563
MARYLA	1558
EMMA	1551
ADA	1545
MIA	1542
MARCELA	1521
TEKLA	1493
VANESSA	1477
OKTAWIA	1472
JESSICA	1472
TEOFILA	1415
LIWIA	1389
LUCJA	1387
BOGNA	1385
KLEMENTYNA	1369
KRZYSZTOFA	1323
NICOLA	1292
LILIA	1264
LILLA	1248
SOFIA	1225
KUNEGUNDA	1209
ROSE	1202
ELENA	1193
SOPHIE	1174
KAMILLA	1156
MARCJANNA	1152
ROMA	1123
BIANKA	1117
SAMANTA	1112
ANETTA	1110
LILA	1066
EVA	1035
MIRELA	1032
NADZIEJA	1005
NELA	995
ELFRYDA	987
KSENIA	984
ANN	955
SEWERYNA	925
IZA	919
ANGELINA	918
VIKTORIA	908
MIRIAM	871
LEA	852
NOEMI	834
INEZ	822
GAJA	817
STELLA	808
SOPHIA	797
BENEDYKTA	796
PAMELA	796
MANUELA	793
ELISABETH	780
PETRONELA	777
AUGUSTYNA	772
AMALIA	766
BERNARDYNA	765
DOBROSŁAWA	761
MICHELLE	753
FILOMENA	745
ANGELA	729
ANDREA	727
BERTA	714
EULALIA	709
ANNE	697
GLORIA	687
GRACE	680
WIRGINIA	676
EMANUELA	668
BERENIKA	651
WANESSA	645
GRETA	635
CELESTYNA	631
SŁAWA	631
INES	623
RUTA	605
MALINA	603
OLA	591
ISABELLA	582
LOUISE	567
MAYA	559
MARY	555
PATRICIA	553
MIRELLA	553
LIGIA	550
JAROSŁAWA	546
JANE	543
VERONICA	535
HIACYNTA	528
CLAUDIA	520
GABRYELA	517
JAŚMINA	514
SARAH	514
ANTONIA	504
LEONTYNA	500
KLAUDYNA	496
DOMICELA	492
ERNA	490
GERDA	489
LARYSA	488
MARGARET	481
EMILY	477
BERNARDETA	471
MIRA	461
SYLWESTRA	461
LINDA	452
ISABEL	450
MARIETTA	448
BLANDYNA	440
CHRISTINA	440
MERCEDES	438
GRACJANA	437
CHRISTINE	433
AURORA	432
GRACJA	425
HELGA	425
NEL	414
CARMEN	413
KORNELA	412
CRISTINA	412
RAMONA	404
WANESA	404
MARIIA	391
ERIKA	386
IRMA	384
RUTH	380
NARCYZA	378
HANKA	376
ALICE	375
LEONIA	374
VERONIKA	373
NATALIE	370
AGNES	368
