name	count
JAN	645988
PIOTR	606080
STANISŁAW	457826
ANDRZEJ	411638
PAWEŁ	401339
JÓZEF	390732
KRZYSZTOF	330476
ADAM	281403
TOMASZ	253859
MAREK	250062
MICHAŁ	235485
JERZY	199959
GRZEGORZ	196839
WOJCIECH	191249
MARCIN	189689
ŁUKASZ	173025
KAZIMIERZ	172050
TADEUSZ	168175
ANTONI	153992
MARIAN	151806
FRANCISZEK	148943
JAKUB	136008
ZBIGNIEW	135425
ROBERT	129435
JACEK	125988
RYSZARD	125975
HENRYK	120858
MATEUSZ	119648
JANUSZ	109924
MACIEJ	109407
KAROL	105540
WŁADYSŁAW	103750
MARIUSZ	98879
RAFAŁ	96910
DARIUSZ	89878
ROMAN	88887
ALEKSANDER	87540
SEBASTIAN	84315
STEFAN	73070
EDWARD	70070
ARTUR	69690
KAMIL	69152
MIROSŁAW	68906
MIECZYSŁAW	64547
DAWID	63941
SZYMON	61652
DANIEL	61603
SŁAWOMIR	61397
MIKOŁAJ	60103
WIESŁAW	59418
JAROSŁAW	58413
DOMINIK	57317
LESZEK	53532
CZESŁAW	52772
PATRYK	52474
ZDZISŁAW	52143
DAMIAN	51983
BOGDAN	51398
WALDEMAR	48186
ZYGMUNT	47087
WIKTOR	46771
PRZEMYSŁAW	45405
KONRAD	43011
SYLWESTER	42845
EUGENIUSZ	40437
KACPER	39219
ARKADIUSZ	39016
BOGUSŁAW	35598
BARTŁOMIEJ	34920
FILIP	32793
ADRIAN	32643
KRYSTIAN	32572
MAKSYMILIAN	30539
WITOLD	29639
WŁODZIMIERZ	29300
BRONISŁAW	28691
SZCZEPAN	28622
BARTOSZ	28308
IRENEUSZ	28041
WACŁAW	26037
BOLESŁAW	25548
LEON	25436
ZENON	24372
HUBERT	23507
IGNACY	22836
JULIAN	22493
RADOSŁAW	22202
GABRIEL	21061
LUDWIK	19842
BERNARD	18982
CEZARY	17618
FELIKS	16530
NORBERT	15673
EDMUND	14986
LECH	14064
LUCJAN	13678
OSKAR	12974
EMIL	12259
ALOJZY	12082
