masc	fem	neutr	mascPl	femPl	neutrPl
b	bka	bu	bi	bki	by
fob	fobka	fobu	fobowie/fobi	fobki	foby
wiec	wczyni	wcu	wcy	wczynie	wcy
ec	czyni	cu	cy	czynie	cy
niec	ńczyni	ńcu	ńcy	ńczynie	ńcy
ca	czyni	cu	cy	czynie	cy
och	ocha	ochu	ochy	ochy	ochy
ch	szka	chu	chy	szki	chy
cz	czka	czu	cze	czki	czy
cz	czka	czu	cze	czki	czy
d	dka	du	dowie	dki	dy
da	dka	du	dzi	dki	dy
graf	grafka	grafu	grafowie	grafki	grafy
f	fka	fu	fowie	fki	fy
g	żka	gu	dzy/gowie	żki	gi
log	lożka	logu	lodzy/logowie	lożki	logi
j	jka	ju	jowie	jki	i
j	jka	ju	je	jki	i
czyk	ka	ku	czycy	ki	ki
tek	tka	tku	tkowie	tki	tki
ik	iczka	iku	icy	iczki	iki
ik	iczka/ica	iku	icy	iczki/ice	iki
ńczyk	nka	nku	ńczycy	nki	nki
yk	yczka	yku	ycy	yczki	yki
ik	ica	iku	icy	ice	iki
ek	ka	ku	kowie	ki	ki
ak	aczka	aku	acy	aczki	aki
ek	kini	ku	kowie	kinie	ki
uk	uczka	uku	ucy	uczki	yki
ok	oczka	oku	oki	oczki	oki
fil	filka	filu	file	filki	fili
ciel	cielka	cielu	ciele	cielki	cieli
l	lka	lu	le	lki	li
ł	łka	łu	łowie	łki	ły
m	mka	mu	mowie	mki	my
n	nka	nu	ni	nki	ny
n	nka	nu	ni	nki	ny
nin	nka	nku	nie	nki	nki
p	pka	pu	pi	pki	py
ar	arka	aru	arzy	arki	ary
ar	arki	aru	arowie	arki	ary
er	erka	eru	erzy	erki	ery
or	orka	oru	orzy	orki	ory
ur	urka	uru	urzy	urki	yry
er	erka/era	eru	erzy	erki/ery	ery
ir	irka	iru	irowie	irki	iry
ór	orka	oru	ory	orki	ory
tra	trka/tra	tru	trzy	trki/try	try
arz	arka	aru	arze	arki	ary
arz	ara	aru	arze	ary	ary
mistrz	mistrzyni	mistrzu	mistrzowie	mistrzynie	mistrzy
erz	erka	eru	erze	erki	ery
s	ska	su	sy	ski	sy
s	ska	su	si	ski	sy
sz	szka	szu	sze	szki	szy
ś	sia	siu	sie	sie	si
nt	ntka	ntu	nci	ntki	nty
t	tka	tu	ci	tki	ty
sta	stka	stu	ści	stki	sty
ta	tka	tu	ci	tki	ty
w	wka	wu	wi	wki	wy
ły	ła	łu	li	łe	ły
ny	na	nu	ni	ne	ny
wy	wa	wu	wi	we	wy
czy	cza	czu	czy/czowie	cze	czy
cy	ca	cu	cy	ce	cy
z	zka	zu	zowie	zki	zy
