masc	fem	neutr	mascPl	femPl	neutrPl
b	bka	bx	bi	bki	bxx
fob	fobka	fobx	fobowie/fobi	fobki	fobxx
wiec	wczyni	wcx	wcy	wczynie	wcxx
ec	czyni	cx	cy	czynie	cxx
niec	ńczyni	ńcx	ńcy	ńczynie	ńcxx
ca	czyni	cx	cy	czynie	cxx
och	ocha	ochx	ochy	ochy	ochxx
ch	szka	chx	chy	szki	chxx
cz	czka	czx	cze	czki	czxx
cz	czka	czx	cze	czki	czxx
d	dka	dx	dowie	dki	dxx
da	dka	dx	dzi	dki	dxx
graf	grafka	grafx	grafowie	grafki	grafxx
f	fka	fx	fowie	fki	fxx
g	żka	gx	dzy/gowie	żki	gxx
log	lożka	logx	lodzy/logowie	lożki	logxx
j	jka	jx	jowie	jki	xx
j	jka	jx	je	jki	xx
czyk	ka	kx	czycy	ki	kxx
tek	tka	tkx	tkowie	tki	tkxx
ik	iczka	ikx	icy	iczki	ikxx
ik	iczka/ica	ikx	icy	iczki/ice	ikxx
ńczyk	nka	nkx	ńczycy	nki	nkxx
yk	yczka	ykx	ycy	yczki	ykxx
ik	ica	ikx	icy	ice	ikxx
ek	ka	kx	kowie	ki	kxx
ak	aczka	akx	acy	aczki	akxx
ek	kini	kx	kowie	kinie	kxx
uk	uczka	ukx	ucy	uczki	ykxx
ok	oczka	okx	oki	oczki	okxx
fil	filka	filx	file	filki	filxx
ciel	cielka	cielx	ciele	cielki	cielxx
l	lka	lx	le	lki	lxx
ł	łka	łx	łowie	łki	łxx
m	mka	mx	mowie	mki	mxx
n	nka	nx	ni	nki	nxx
n	nka	nx	ni	nki	nxx
nin	nka	nkx	nie	nki	nkxx
p	pka	px	pi	pki	pxx
ar	arka	arx	arzy	arki	arxx
ar	arki	arx	arowie	arki	arxx
er	erka	erx	erzy	erki	erxx
or	orka	orx	orzy	orki	orxx
ur	urka	urx	urzy	urki	yrxx
er	erka/era	erx	erzy	erki/ery	erxx
ir	irka	irx	irowie	irki	irxx
ór	orka	orx	ory	orki	orxx
tra	trka/tra	trx	trzy	trki/try	trxx
arz	arka	arx	arze	arki	arxx
arz	ara	arx	arze	ary	arxx
mistrz	mistrzyni	mistrzx	mistrzowie	mistrzynie	mistrzxx
erz	erka	erx	erze	erki	erxx
s	ska	sx	sy	ski	sxx
s	ska	sx	si	ski	sxx
sz	szka	szx	sze	szki	szxx
ś	sia	six	sie	sie	sxx
nt	ntka	ntx	nci	ntki	ntxx
t	tka	tx	ci	tki	txx
sta	stka	stx	ści	stki	stxx
ta	tka	tx	ci	tki	txx
w	wka	wx	wi	wki	wxx
ły	ła	łx	li	łe	łxx
ny	na	nx	ni	ne	nxx
wy	wa	wx	wi	we	wxx
czy	cza	czx	czy/czowie	cze	czxx
cy	ca	cx	cy	ce	cxx
z	zka	zx	zowie	zki	zxx
