key	description	normative	definite_article	pronoun	inflection	de_pronoun	indefinite_article	plural_pronoun	de_plural	plural_definite_article	plural_indefinite_article	inflection_c	possessive	plural	pluralHonorific	pronounceable	history	thirdForm	smallForm	sourcesInfo
ele,ele/dele,o/ele/o	Normativo	TRUE	o	ele	o	dele	um	eles	deles	os	uns	co	meu	FALSE	FALSE	TRUE
ela,ela/dela,a/ela/a	Normativo	TRUE	a	ela	a	dela	uma	elas	delas	as	umas	ca	minha	FALSE	FALSE	TRUE
elu,elu/delu,ê/elu/e	Alternativo	FALSE	ê	elu	e	delu	ume	elus	delus	es	umes	que	minhe	FALSE	FALSE	TRUE	Desenvolvimento do sistema “ilu” para se aproximar mais de “ele/ela”.
ilu,ilu/dilu,ê/ilu/e	Alternativo	FALSE	ê	ilu	e	dilu	ume	ilus	dilus	es	umes	que	mi	FALSE	FALSE	TRUE	Pronome neutro do latim que é “illud”.
ile,ile/dile,ê/ile/e	Alternativo	FALSE	ê	ile	e	dile	ume	iles	diles	es	umes	que	mi	FALSE	FALSE	TRUE
elx,elx/delx,x/elx/x	Conjunto gráfico com x	FALSE	x	elx	x	delx	umx	elxs	delxs	xs	umxs	cx	mx	FALSE	FALSE	FALSE
el*,el*/del*,*/el*/*	Conjunto gráfico com *	FALSE	*	el*	*	del*	um*	el*s	del*s	*s	um*s	c*	m*	FALSE	FALSE	FALSE
el,el/del,ê/el/e	Alternativo	FALSE	ê	el	e	del	ume	els	dels	ês	umes	que	mi	FALSE	FALSE	TRUE	Deleção da vogal marcadora de gênero.
el@,el@/del@,@/el@/@	Conjunto gráfico com @	FALSE	@	el@	@	del@	um@	el@s	del@s	@s	um@s	c@	m@	FALSE	FALSE	FALSE
el_,el_/del_,_/el_/_	Conjunto gráfico com _	FALSE	_	el_	_	del_	um_	el_s	del_s	_s	um_s	c_	m_	FALSE	FALSE	FALSE
ili,ili/dili,i/ili/i	Alternativo	FALSE	i	ili	i	dili	uni	ilis	dilis	is	unis	qui	mi	FALSE	FALSE	TRUE
el',el’/del','/el’/'	Conjunto gráfico com '	FALSE	'	el'	'	del'	um'	el's	del's	_'s	um's	c'	m'	FALSE	FALSE	FALSE
ily,ily/dily,ê/ily/e	Alternativo	FALSE	ê	ily	e	dily	uny	ilys	delys	ys	unys	que	mi	FALSE	FALSE	TRUE
éli,éli/déli,ê/éli/e	Alternativo	FALSE	ê	éli	e	déli	ume	élis	délis	is	umés	que	mi	FALSE	FALSE	TRUE
ael,ael/dael,ae/ael/e	Alternativo	FALSE	ae	ael	e	dael	umae	aels	daels	aes	umaes	que	mi	FALSE	FALSE	TRUE
elae,elae/delae,ae/elae/e	Alternativo	FALSE	ae	elae	e	delae	umae	elaes	delaes	aes	umaes	que	mi	FALSE	FALSE	TRUE
eld,eld/deld,d/eld/e	Alternativo	FALSE	d	eld	e	deld	und	elds	delds	ds	umds	que	mi	FALSE	FALSE	FALSE
elé,elé/delé,ê/elé/e	Alternativo	FALSE	ê	elé	e	delé	umé	elés	delés	ês	umes	que	mi	FALSE	FALSE	TRUE
ilo,ilo/dilo,i/ilo/i	Alternativo	FALSE	i	ilo	i	dilo	uni	ilos	dilos	is	unis	que	mi	FALSE	FALSE	TRUE
êlu,êlu/dêlu,ê/êlu/e	Alternativo	FALSE	ê	êlu	e	dêlu	ume	êlus	dêlus	ês	umes	que	mi	FALSE	FALSE	TRUE
yn,yn/dyn,y/yn/y	Neutro	FALSE	y	yn	y	dyn	uni	yns	dyns	ys	unys	que	mi	FALSE	FALSE	TRUE
ale,ale/dale,y/ale/y	Alternativo	FALSE	y	ale	y	dale	ume	ales	dales	ys	umes	quy	my	FALSE	FALSE	TRUE
