key	description	normative	pronoun_n	pronoun_dg	strengthening	first_article	second_article	plural	pluralHonorific	pronounceable	history	thirdForm	smallForm	sourcesInfo
el,el/lui	Masculinul „el/lui”	TRUE	el	lui	însuși	L-am		FALSE	FALSE	TRUE
ea,ea/ei	Femininul „ea/ei”	TRUE	ea	ei	însăși	Am	-o	FALSE	FALSE	TRUE
ei,ei/lor	Singularul „ei/lor”	TRUE	ei	lor	înșiși	I-		TRUE	FALSE	TRUE	Pronumele „they/them”, provenit din limba engleză, este folosit în limba română majoritar în limbajul informal, luând forma pluralului pronumelui masculin.
ele,ele/lor	Singularul „ele/lor”	TRUE	ele	lor	înseși	Le-		TRUE	FALSE	TRUE	Pronumele „they/them”, provenit din limba engleză, este folosit în limba română majoritar în limbajul informal, luând forma pluralului pronumelui masculin.
unul,unul/unuia	Nehotărâtul „unul/unuia”	TRUE	unul	unuia	însuși	L-am		FALSE	FALSE	TRUE	„Unul/unuia” este folosit in limba română pentru descrierea unei persoane neindentificate. Acesta are forme la feminin cât și la masculin, cel mai comun fiind folosit la genul masculin, fiind clasificat ca „pronume nehotărât”
co,co/lui co	Neo-pronumele „co”	FALSE	co	lui co	însuși	L-am		FALSE	FALSE	TRUE	Create de Mary Orovan în 1970, derivate de la pronumele Indo-Europeane <em>*ko</em>.
ey,ey/lui ey	Pronumele „Elverson”	FALSE	ey	lui ey	însuși	L-am		FALSE	FALSE	TRUE	{https://web.archive.org/web/20211130005355/https://research.cristanwilliams.com/2012/02/24/1975-transgender-cross-gender/=Inventate de Christine M. Elverson} în 1975, au fost create pentru un concurs, al cărui scop era formarea singularului „they/them”. Aceste forme au fost create prin eliminarea silabei „th” de la „they”.
hu,hu/lui hu	Pronumele „Humanist”	FALSE	hu	lui hu	însuși	L-am		FALSE	FALSE	TRUE	Inventate de Sasha Newborn în1982, bazate pe cuvântul „human”.
ne,ne/lui ne	Neo-pronumele „ne”	FALSE	ne	lui ne	însuși	L-am		FALSE	FALSE	TRUE
per,per/lui per	Pronumele „Person”	FALSE	per	lui per	însuși	L-am		FALSE	FALSE	TRUE	Inventate de John Clark într-un număr al <em>Newsletter of the American Anthropological Association</em> în 1972, derivat de la cuvântul  „person”.
thon,thon/lui thon	Neo-pronumele „thon”	FALSE	thon	lui thon	însuși	L-am		FALSE	FALSE	TRUE	Create de Charles Crozat Converse în 1858, „thon/thons/thonself” este primul exemplu cunoscut de creare a unui pronume neutru genului. „Thon” este o prescurtare a termenilor „that one”.
ve,ve/lui ve	Neo-pronumele „ve”	FALSE	ve	lui ve	însuși	L-am		FALSE	FALSE	TRUE	Folosite de.Greg Egan în <em>Distress</em> (1995) și <em>Diaspora</em> (1998), cât și de Keri Hulme în <em>The Bone People</em> (1984).
vi,vi/lui vi	Neo-pronumele „vi”	FALSE	vi	lui vi	însuși	L-am		FALSE	FALSE	TRUE
xe,xe/lui xe	Neo-pronumele „xe”	FALSE	xe	lui xe	însuși	L-am		FALSE	FALSE	TRUE	Create de Don Rickter într-un numar al <em>Unitarian Universalist</em> în 1973.
ze,ze/lui ze	Neo-pronumele „zer”	FALSE	ze	lui ze	însuși	L-am		FALSE	FALSE	TRUE	Pe baza pronumelui personal german, persoana a treia <em>sie</em>.
zhe,zhe/lui zhe	Neo-pronumele „zhe”	FALSE	zhe	lui zhe	însuși	L-am		FALSE	FALSE	TRUE
