masc	fem	neutr	mascPl	femPl	neutrPl
-ак -ачиня -аче(в) -аки -ачини -аче(ва)
-ак -ачица -аче(в) -аки -ачицы -аче(ва)
-ал -алка -альт –алы -алки -альты
-ал -алка -альче(в) -алы -алки -альче(ва)
-ал -анка -альт -алы -анки -альты
-ан -анка -альче(в) -аны -анки -альче(ва)
-анин -анка -аже -ане -анки -аже
-анин -анка -альт -ане -анки -альты
-анин -анка -анче(в) -ане -анки -анче(ва)
-ант -антка -альт -анты -антки -альты
-ант -е́нта -е́нта -анты -е́нты -е́нты
-ар -е́ра -арев -ара -е́ры -арева
-ар -е́ра -арекс -ара -е́ры -арексы
-ар -е́ра -арикс -ара -е́ры -ариксы
-ар -е́ра -ире -ара -е́ры -ире
-арь -арица -арев -ари -арицы -арева
-арь -арица -арче -ари -арицы -арче
-арь -арыня -арев -ари -арыни -арева
-арь -арыня -арче -ари -арыни -арче
-ач -ачиня -аче -ачи -ачини -аче
-ач -ачиня -ачикс -ачи -ачини -ачиксы
-ач -ачиня -ачина -ачи -ачини -ачины
-ач -ачиня -яга -ачи -ачини -яги
-ач -ачица -аче -ачи -ачицы -аче
-ач -ачица -ачикс -ачи -ачицы -ачиксы
-ач -ачица -ачина -ачи -ачицы -ачины
-ач -ачица -яга -ачи -ачицы -яги
-ач -ачка -аче -ачи -ачки -аче
-граф -графиня -гра́фос -графы -графини -гра́фос
-евт -евтесса -евтикс -евты -евтессы -евтиксы
-ей -ея -ейче -еи -еи -еи
-ей -ея -ейше -еи -еи -еи
-ек -ка -ушко -ки -ки -ки
-ент -ентка -екс -енты -ентки -ексы
-ент -ентка -ентикс -енты -ентки -ентиксы
-ент -ентка -иже -енты -ентки -иже
-ент -ентка -икс -енты -ентки -иксы
-ент -ея -екс -енты -еи -ексы
-ент -ея -ентикс -енты -еи -ентиксы
-ент -ея -иже -енты -еи -иже
-ент -ея -икс -енты -еи -иксы
-ент -инта -екс -енты -инты -ексы
-ент -инта -ентикс -енты -инты -ентиксы
-ент -инта -иже -енты -инты -иже
-ент -инта -икс -енты -инты -иксы
-ент -иня -екс -инты -ини -ексы
-ент -иня -ентикс -инты -ини -ентиксы
-ент -иня -иже -инты -ини -иже
-ент -иня -икс -инты -ини -иксы
-ер -ерка -ерикс -еры -ерки -ериксы
-ер -ерка -и́ре -еры -ерки -и́ре
-ер -и́ра -ерикс -еры -и́ры -ериксы
-ер -и́ра -и́ре -еры -и́ры -и́ре
-ец -ея -еже -еи -еи -еи
-ец -ея -ече -еи -еи -еи
-ец -ея -ечев -еи -еи -ечева
-ец -ея -ечина -еи -еи -еи
-ец -ица -(ь)же -(ь)цы -ицы -(ь)же
-ец -ица -(ь)че -(ь)цы -ицы -(ь)че
-ец -ица -(ь)чев -(ь)цы -ицы -(ь)чева
-ец -ица -(ь)чина -(ь)цы -ицы -(ь)чины
-ец -ица -екс -(ь)цы -ицы -ексы
-ец -ица -икс -(ь)цы -ицы -иксы
-ец -ка -(ь)же -ец -ка -(ь)же
-ец -ка -(ь)че -ец -ка -(ь)че
