singular	plural	isHonorific
Я чув, що {nominative} чудово танцює.	Я чув, що {nominative} чудово танцює.	FALSE
Я {genitive} сьогодні ще не бачив.	Я {genitive} сьогодні ще не бачив.	FALSE
Дай {dative} час.	Дай {dative} час.	FALSE
Не треба {accusative} засуджувати.	Не треба {accusative} засуджувати.	FALSE
Я пишаюся {instrumental}.	Я пишаюся {instrumental}.	FALSE
Розповіси мені про {prepositional}!	Розповіси мені про {prepositional}!	FALSE
Тобі варто познайомитися з {instrumental_with_preposition}.	Тобі варто познайомитися з {instrumental_with_preposition}.	FALSE
У {genitive_with_preposition} є кіт.	У {genitive_with_preposition} є кіт.	FALSE
{'nominative} чудов{adjective}.	{'nominative} чудов{adjective}.	FALSE
{'possessive} знайом{adjective} вміє грати на гітарі.	{'possessive} знайом{adjective} вміють грати на гітарі.	FALSE
{'nominative} зібра{reflexive_verb_past} на роботу.	{'nominative} зібра{reflexive_verb_past} на роботу.	FALSE
{'nominative} сказа{nonreflexive_verb_past}, що піде з нами!	{'nominative} сказа{nonreflexive_verb_past}, що підуть з нами!	FALSE
{'nominative} зробить це {definitive}.	{'nominative} зроблять це {definitive}.	FALSE
