key	description	normative	nominative	genitive	nonreflexive_verb_past	dative	accusative	instrumental	prepositional	instrumental_with_preposition	genitive_with_preposition	reflexive_verb_past	adjective	possessive	definitive	plural	pluralHonorific	pronounceable	history	thirdForm	smallForm	sourcesInfo
воно,воно/його,воно/його/[-ло]	Нейтральний рід	TRUE	воно	його	ло	йому	його	ним	нього	ним	нього	лося	е	моє	само	FALSE	FALSE	TRUE
він,він/його,він/його/[-в]	Чоловічий рід	TRUE	він	його	ов&в	йому	його	ним	нього	ним	нього	вся	ий	мій	сам	FALSE	FALSE	TRUE
вона,вона/її,вона/її/[-ла]	Жіночій рід	TRUE	вона	її	ла	їй	її	нею	неї	нею	неї	лася	а	моя	сама	FALSE	FALSE	TRUE
воно/цього,воно/цього/[-ло]	Нейтральний рід	FALSE	воно	цього	ло	цьому	цього	цим	це	цім	цього	лось	е	моє	само	FALSE	FALSE	TRUE
вони,вони/їх,вони/їх/[-ли]	Нейтральный рід	FALSE	вони	їх	ли	їм	їх	ними	них	ними	них	лися	і	мої	самі	FALSE	FALSE	TRUE
воно/її,воно/її/[-ло]	Нейтральний рід з жіночою формою	FALSE	воно	її	ло	їй	її	нею	неї	нею	неї	лося	е	моє	само	FALSE	FALSE	TRUE
воно/їх,воно/їх/[-ло]	Нейтральний рід з нейтральною формою	FALSE	воно	їх	ли	їм	їх	ними	них	ними	них	лося	е	моє	само	FALSE	FALSE	TRUE
мур,мур/мях,мур/мях/[-лур]	Неозайменник з котячою тематикою	FALSE	мур	мях	лур	мрме	мях	мех	мрме	нях	нях	лcурь	яу	мояв	мояв	FALSE	FALSE	TRUE	Займенник мур/мях був зроблен користувачею твіттера jellyreap0p у 2021 році та перекладені і адаптовані українською командою ua.pronouns.page.
вінь,вінь/йогьо,вінь/йогьо/[-вь]	Неозайменник	FALSE	вінь	йогьо	ові&ві	йомю	йогьо	нимь	ньогьо	ними	ньогьо	лись	ві	мої	самі	FALSE	FALSE	TRUE
ксін,ксін/ксе,ксін/ксе/[-в]	Неозайменник	FALSE	ксін	ксе	лін	ксем	ксені	ксир	ксер	ксем	ксер	лсин	ер	мин	самин	FALSE	FALSE	TRUE
